hostAddress,port,ipProtocol,appProtocol,totalIdentities,totalHits,totalAllowed,totalBlocked,associatedPrivateResources,firstSeen,lastSeen,label
10.0.0.99,62707,UDP,stun-nat,1,1,1,0,,30/04/2025 16:46:34 BST,30/04/2025 16:46:34 BST,NOT_REVIEWED
10.0.0.99,63441,UDP,stun-nat,1,1,1,0,,30/04/2025 16:56:44 BST,30/04/2025 16:56:44 BST,NOT_REVIEWED
10.0.11.127,56997,UDP,stun-nat,1,1,1,0,,30/04/2025 16:40:13 BST,30/04/2025 16:40:13 BST,NOT_REVIEWED
10.0.2.241,53983,UDP,stun-nat,1,1,1,0,,08/05/2025 11:50:06 BST,08/05/2025 11:50:06 BST,NOT_REVIEWED
10.0.20.80,64616,UDP,stun-nat,1,1,1,0,,30/04/2025 8:18:39 BST,30/04/2025 8:18:39 BST,NOT_REVIEWED
10.0.20.80,64616,UDP,stun-nat,1,1,1,0,,30/04/2025 8:18:39 BST,30/04/2025 8:18:39 BST,NOT_REVIEWED
10.0.20.80,64616,UDP,stun-nat,1,1,1,0,,30/04/2025 8:18:39 BST,30/04/2025 8:18:39 BST,NOT_REVIEWED
10.0.20.80,51747,UDP,stun-nat,1,1,1,0,,30/04/2025 7:56:52 BST,30/04/2025 7:56:52 BST,NOT_REVIEWED
10.0.20.80,62069,UDP,stun-nat,1,1,1,0,,30/04/2025 7:32:01 BST,30/04/2025 7:32:01 BST,NOT_REVIEWED
10.0.6.31,53576,UDP,stun-nat,1,1,1,0,,30/04/2025 17:22:07 BST,30/04/2025 17:22:07 BST,NOT_REVIEWED
10.0.6.31,53576,UDP,stun-nat,1,1,1,0,,30/04/2025 17:22:07 BST,30/04/2025 17:22:07 BST,NOT_REVIEWED
10.1.0.8,60099,UDP,,1,1,1,0,,07/05/2025 16:34:22 BST,07/05/2025 16:34:22 BST,NOT_REVIEWED
10.1.0.8,60099,UDP,,1,1,1,0,,07/05/2025 16:34:22 BST,07/05/2025 16:34:22 BST,NOT_REVIEWED
10.1.0.8,51411,UDP,,1,1,1,0,,29/05/2025 10:49:39 BST,29/05/2025 10:49:39 BST,NOT_REVIEWED
10.1.0.8,57332,UDP,,1,1,1,0,,22/05/2025 13:21:57 BST,22/05/2025 13:21:57 BST,NOT_REVIEWED
10.1.0.8,51411,UDP,,1,1,1,0,,29/05/2025 10:49:39 BST,29/05/2025 10:49:39 BST,NOT_REVIEWED
10.1.150.153,443,TCP,,1,4,4,0,,29/05/2025 6:11:42 BST,29/05/2025 6:12:16 BST,NOT_REVIEWED
10.1.20.40,53385,UDP,stun-nat,1,1,1,0,,30/04/2025 16:51:04 BST,30/04/2025 16:51:04 BST,NOT_REVIEWED
10.10.0.91,58754,UDP,stun-nat,1,1,1,0,,30/04/2025 16:45:00 BST,30/04/2025 16:45:00 BST,NOT_REVIEWED
10.10.0.91,64434,UDP,stun-nat,1,1,1,0,,30/04/2025 17:02:30 BST,30/04/2025 17:02:30 BST,NOT_REVIEWED
10.10.0.91,58754,UDP,stun-nat,1,1,1,0,,30/04/2025 16:45:00 BST,30/04/2025 16:45:00 BST,NOT_REVIEWED
10.10.0.91,64434,UDP,stun-nat,1,1,1,0,,30/04/2025 17:02:30 BST,30/04/2025 17:02:30 BST,NOT_REVIEWED
10.10.0.91,59435,UDP,stun-nat,1,1,1,0,,30/04/2025 17:09:54 BST,30/04/2025 17:09:54 BST,NOT_REVIEWED
10.10.1.95,50537,UDP,stun-nat,1,1,1,0,,30/04/2025 7:49:20 BST,30/04/2025 7:49:20 BST,NOT_REVIEWED
10.10.10.176,63803,UDP,stun-nat,1,1,1,0,,19/05/2025 14:44:54 BST,19/05/2025 14:44:54 BST,NOT_REVIEWED
10.10.10.176,63803,UDP,stun-nat,1,1,1,0,,19/05/2025 14:44:54 BST,19/05/2025 14:44:54 BST,NOT_REVIEWED
10.10.10.176,56624,UDP,stun-nat,1,1,1,0,,19/05/2025 14:42:51 BST,19/05/2025 14:42:51 BST,NOT_REVIEWED
10.10.10.176,56624,UDP,stun-nat,1,1,1,0,,19/05/2025 14:42:51 BST,19/05/2025 14:42:51 BST,NOT_REVIEWED
10.10.10.176,57492,UDP,stun-nat,1,1,1,0,,19/05/2025 14:56:32 BST,19/05/2025 14:56:32 BST,NOT_REVIEWED
10.10.240.184,60904,UDP,stun-nat,1,1,1,0,,30/04/2025 16:43:09 BST,30/04/2025 16:43:09 BST,NOT_REVIEWED
10.10.240.184,60904,UDP,stun-nat,1,1,1,0,,30/04/2025 16:43:09 BST,30/04/2025 16:43:09 BST,NOT_REVIEWED
10.10.3.160,62510,UDP,stun-nat,1,1,1,0,,30/04/2025 16:43:12 BST,30/04/2025 16:43:12 BST,NOT_REVIEWED
10.10.3.160,62510,UDP,stun-nat,1,1,1,0,,30/04/2025 16:43:12 BST,30/04/2025 16:43:12 BST,NOT_REVIEWED
10.10.3.160,62831,UDP,stun-nat,1,1,1,0,,30/04/2025 16:56:17 BST,30/04/2025 16:56:17 BST,NOT_REVIEWED
10.10.58.171,53940,UDP,stun-nat,1,1,1,0,,19/05/2025 14:37:04 BST,19/05/2025 14:37:04 BST,NOT_REVIEWED
10.10.58.171,63124,UDP,stun-nat,1,1,1,0,,19/05/2025 14:42:44 BST,19/05/2025 14:42:44 BST,NOT_REVIEWED
10.10.58.171,59128,UDP,stun-nat,1,1,1,0,,19/05/2025 14:49:14 BST,19/05/2025 14:49:14 BST,NOT_REVIEWED
10.10.58.171,52876,UDP,stun-nat,1,1,1,0,,19/05/2025 14:40:55 BST,19/05/2025 14:40:55 BST,NOT_REVIEWED
10.10.58.171,53940,UDP,stun-nat,1,1,1,0,,19/05/2025 14:37:04 BST,19/05/2025 14:37:04 BST,NOT_REVIEWED
10.10.58.171,59128,UDP,stun-nat,1,1,1,0,,19/05/2025 14:49:14 BST,19/05/2025 14:49:14 BST,NOT_REVIEWED
10.10.58.171,63124,UDP,stun-nat,1,1,1,0,,19/05/2025 14:42:44 BST,19/05/2025 14:42:44 BST,NOT_REVIEWED
10.10.58.171,53940,UDP,stun-nat,1,1,1,0,,19/05/2025 14:37:04 BST,19/05/2025 14:37:04 BST,NOT_REVIEWED
10.10.58.171,59128,UDP,stun-nat,1,1,1,0,,19/05/2025 14:49:14 BST,19/05/2025 14:49:14 BST,NOT_REVIEWED
10.10.58.171,56180,UDP,stun-nat,1,1,1,0,,19/05/2025 14:59:52 BST,19/05/2025 14:59:52 BST,NOT_REVIEWED
10.10.58.171,49665,UDP,stun-nat,1,1,1,0,,19/05/2025 14:33:14 BST,19/05/2025 14:33:14 BST,NOT_REVIEWED
10.10.58.171,56180,UDP,stun-nat,1,1,1,0,,19/05/2025 14:59:52 BST,19/05/2025 14:59:52 BST,NOT_REVIEWED
10.100.119.229,62184,UDP,stun-nat,1,1,1,0,,30/04/2025 16:55:36 BST,30/04/2025 16:55:36 BST,NOT_REVIEWED
10.100.119.229,62184,UDP,stun-nat,1,1,1,0,,30/04/2025 16:55:36 BST,30/04/2025 16:55:36 BST,NOT_REVIEWED
10.101.0.30,22,TCP,ssh,1,1,1,0,,16/05/2025 14:36:55 BST,16/05/2025 14:36:55 BST,NOT_REVIEWED
10.101.0.30,22,TCP,ssh,1,1,1,0,,16/05/2025 14:36:55 BST,16/05/2025 14:36:55 BST,NOT_REVIEWED
10.103.9.69,62138,UDP,stun-nat,1,1,1,0,,30/04/2025 16:32:02 BST,30/04/2025 16:32:02 BST,NOT_REVIEWED
10.103.99.150,53533,UDP,stun-nat,1,1,1,0,,30/04/2025 8:10:34 BST,30/04/2025 8:10:34 BST,NOT_REVIEWED
10.103.99.150,53533,UDP,stun-nat,1,1,1,0,,30/04/2025 8:10:34 BST,30/04/2025 8:10:34 BST,NOT_REVIEWED
10.103.99.150,42037,UDP,stun-nat,1,1,1,0,,30/04/2025 8:15:42 BST,30/04/2025 8:15:42 BST,NOT_REVIEWED
10.104.0.200,60087,UDP,stun-nat,1,1,1,0,,30/04/2025 8:20:11 BST,30/04/2025 8:20:11 BST,NOT_REVIEWED
10.104.0.200,60087,UDP,stun-nat,1,1,1,0,,30/04/2025 8:20:11 BST,30/04/2025 8:20:11 BST,NOT_REVIEWED
10.104.0.200,58347,UDP,stun-nat,1,1,1,0,,30/04/2025 7:35:28 BST,30/04/2025 7:35:28 BST,NOT_REVIEWED
10.104.89.115,55816,UDP,stun-nat,1,1,1,0,,30/04/2025 8:08:58 BST,30/04/2025 8:08:58 BST,NOT_REVIEWED
10.104.89.115,55816,UDP,stun-nat,1,1,1,0,,30/04/2025 8:08:58 BST,30/04/2025 8:08:58 BST,NOT_REVIEWED
10.104.89.115,53287,UDP,stun-nat,1,1,1,0,,30/04/2025 7:53:08 BST,30/04/2025 7:53:08 BST,NOT_REVIEWED
10.104.89.115,53287,UDP,stun-nat,1,1,1,0,,30/04/2025 7:53:08 BST,30/04/2025 7:53:08 BST,NOT_REVIEWED
10.108.11.112,58242,UDP,stun-nat,1,1,1,0,,21/05/2025 5:16:26 BST,21/05/2025 5:16:26 BST,NOT_REVIEWED
10.108.11.80,56454,UDP,stun-nat,1,1,1,0,,30/04/2025 8:17:13 BST,30/04/2025 8:17:13 BST,NOT_REVIEWED
10.108.11.80,56454,UDP,stun-nat,1,1,1,0,,30/04/2025 8:17:13 BST,30/04/2025 8:17:13 BST,NOT_REVIEWED
10.108.11.80,56454,UDP,stun-nat,1,1,1,0,,30/04/2025 8:17:13 BST,30/04/2025 8:17:13 BST,NOT_REVIEWED
